Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
GR0001,sdfsdfsdfs,sdfsskh,C0005,3,0.18,0.25,, No Tax, exclusive, SC1,,,,,,,,,,,,,,standard
GR0002,sdfsdfsdfs,sdfsskh,C0005,4,1.5,2,,,,,,,,,,,,,,,,,,standard
GR0003,sdfsdfsdfs,sdfsskh,C0005,5,2,3.75,,,,,,,,,,,,,,,,,,standard
GR0004,sdfsdfsdfs,sdfsskh,C0005,5,0,7.5,,,,,,,,,,,,,,,,,,standard
GR0005,sdfsdfsdfs,sdfsskh,C0005,5,0,6.25,,,,,,,,,,,,,,,,,,standard
GR0006,sdfsdfsdfs,sdfsskh,C0005,5,0,6.25,,,,,,,,,,,,,,,,,,standard
GR0007,sdfsdfsdfs,sdfsskh,C0005,5,0.7,2,,,,,,,,,,,,,,,,,,standard
GR0008,sdfsdfsdfs,sdfsskh,C0005,5,1.2,2,,,,,,,,,,,,,,,,,,standard
GR0009,sdfsdfsdfs,sdfsskh,C0005,5,0.85,1.5,,,,,,,,,,,,,,,,,,standard
GR0010,sdfsdfsdfs,sdfsskh,C0005,5,0.75,1.25,,,,,,,,,,,,,,,,,,standard
8847101530027,sdfsdfsdfs,sdfsskh,C0005,6,0.43,0.55,,,,,,,,,,,,,,,,,,standard
8846500017894,sdfsdfsdfs,sdfsskh,C0003,6,1.63,2.25,,,,,,,,,,,,,,,,,,standard
8846500017825,sdfsdfsdfs,sdfsskh,C0003,6,0,0,,,,,,,,,,,,,,,,,,standard
8846500017221,sdfsdfsdfs,sdfsskh,C0003,6,0.88,1.25,,,,,,,,,,,,,,,,,,standard
8846500017245,sdfsdfsdfs,sdfsskh,C0003,6,0.5,0.7,,,,,,,,,,,,,,,,,,standard
8846500018150,sdfsdfsdfs,sdfsskh,C0003,6,0,0,,,,,,,,,,,,,,,,,,standard
88465000110141,sdfsdfsdfs,sdfsskh,C0003,6,0.25,0.5,,,,,,,,,,,,,,,,,,standard
